Accession	Sample Name	SPUID	Organism	Tax ID	Strain	
SAMN19415280	DGRP_Line_509_3wk_M_Rep_2	DGRP_Line_509_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_509	
SAMN19415281	DGRP_Line_513_3wk_F_Rep_1	DGRP_Line_513_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_513	
SAMN19415282	DGRP_Line_513_3wk_F_Rep_2	DGRP_Line_513_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_513	
SAMN19415283	DGRP_Line_513_3wk_M_Rep_1	DGRP_Line_513_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_513	
SAMN19415284	DGRP_Line_513_3wk_M_Rep_2	DGRP_Line_513_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_513	
SAMN19415285	DGRP_Line_517_3wk_F_Rep_1	DGRP_Line_517_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_517	
SAMN19415286	DGRP_Line_517_3wk_F_Rep_2	DGRP_Line_517_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_517	
SAMN19415287	DGRP_Line_517_3wk_M_Rep_1	DGRP_Line_517_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_517	
SAMN19415288	DGRP_Line_517_3wk_M_Rep_2	DGRP_Line_517_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_517	
SAMN19415289	DGRP_Line_528_3wk_F_Rep_1	DGRP_Line_528_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_528	
SAMN19415290	DGRP_Line_528_3wk_F_Rep_2	DGRP_Line_528_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_528	
SAMN19415291	DGRP_Line_528_3wk_M_Rep_1	DGRP_Line_528_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_528	
SAMN19415292	DGRP_Line_528_3wk_M_Rep_2	DGRP_Line_528_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_528	
SAMN19415293	DGRP_Line_530_3wk_F_Rep_1	DGRP_Line_530_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_530	
SAMN19415294	DGRP_Line_530_3wk_F_Rep_2	DGRP_Line_530_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_530	
SAMN19415295	DGRP_Line_530_3wk_M_Rep_1	DGRP_Line_530_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_530	
SAMN19415296	DGRP_Line_530_3wk_M_Rep_2	DGRP_Line_530_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_530	
SAMN19415297	DGRP_Line_531_3wk_F_Rep_1	DGRP_Line_531_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_531	
SAMN19415298	DGRP_Line_531_3wk_F_Rep_2	DGRP_Line_531_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_531	
SAMN19415299	DGRP_Line_531_3wk_M_Rep_1	DGRP_Line_531_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_531	
SAMN19415300	DGRP_Line_531_3wk_M_Rep_2	DGRP_Line_531_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_531	
SAMN19415301	DGRP_Line_535_3wk_F_Rep_1	DGRP_Line_535_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_535	
SAMN19415302	DGRP_Line_535_3wk_F_Rep_2	DGRP_Line_535_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_535	
SAMN19415303	DGRP_Line_535_3wk_M_Rep_1	DGRP_Line_535_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_535	
SAMN19415304	DGRP_Line_535_3wk_M_Rep_2	DGRP_Line_535_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_535	
SAMN19415305	DGRP_Line_551_3wk_F_Rep_1	DGRP_Line_551_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_551	
SAMN19415306	DGRP_Line_551_3wk_F_Rep_2	DGRP_Line_551_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_551	
SAMN19415307	DGRP_Line_551_3wk_M_Rep_1	DGRP_Line_551_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_551	
SAMN19415308	DGRP_Line_551_3wk_M_Rep_2	DGRP_Line_551_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_551	
SAMN19415309	DGRP_Line_555_3wk_F_Rep_1	DGRP_Line_555_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_555	
SAMN19415310	DGRP_Line_555_3wk_F_Rep_2	DGRP_Line_555_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_555	
SAMN19415311	DGRP_Line_555_3wk_M_Rep_1	DGRP_Line_555_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_555	
SAMN19415312	DGRP_Line_555_3wk_M_Rep_2	DGRP_Line_555_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_555	
SAMN19415313	DGRP_Line_559_3wk_F_Rep_1	DGRP_Line_559_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_559	
SAMN19415314	DGRP_Line_559_3wk_M_Rep_1	DGRP_Line_559_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_559	
SAMN19415315	DGRP_Line_559_3wk_M_Rep_2	DGRP_Line_559_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_559	
SAMN19415316	DGRP_Line_563_3wk_F_Rep_1	DGRP_Line_563_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_563	
SAMN19415317	DGRP_Line_563_3wk_F_Rep_2	DGRP_Line_563_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_563	
SAMN19415318	DGRP_Line_563_3wk_M_Rep_1	DGRP_Line_563_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_563	
SAMN19415319	DGRP_Line_563_3wk_M_Rep_2	DGRP_Line_563_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_563	
SAMN19415320	DGRP_Line_566_3wk_F_Rep_1	DGRP_Line_566_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_566	
SAMN19415321	DGRP_Line_566_3wk_F_Rep_2	DGRP_Line_566_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_566	
SAMN19415322	DGRP_Line_566_3wk_M_Rep_1	DGRP_Line_566_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_566	
SAMN19415323	DGRP_Line_566_3wk_M_Rep_2	DGRP_Line_566_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_566	
SAMN19415324	DGRP_Line_57_3wk_F_Rep_1	DGRP_Line_57_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_57	
SAMN19415325	DGRP_Line_57_3wk_F_Rep_2	DGRP_Line_57_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_57	
SAMN19415326	DGRP_Line_57_3wk_M_Rep_1	DGRP_Line_57_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_57	
SAMN19415327	DGRP_Line_57_3wk_M_Rep_2	DGRP_Line_57_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_57	
SAMN19415328	DGRP_Line_584_3wk_F_Rep_1	DGRP_Line_584_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_584	
SAMN19415329	DGRP_Line_584_3wk_F_Rep_2	DGRP_Line_584_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_584	
SAMN19415330	DGRP_Line_584_3wk_M_Rep_1	DGRP_Line_584_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_584	
SAMN19415331	DGRP_Line_584_3wk_M_Rep_2	DGRP_Line_584_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_584	
SAMN19415332	DGRP_Line_589_3wk_F_Rep_1	DGRP_Line_589_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_589	
SAMN19415333	DGRP_Line_589_3wk_F_Rep_2	DGRP_Line_589_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_589	
SAMN19415334	DGRP_Line_589_3wk_M_Rep_1	DGRP_Line_589_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_589	
SAMN19415335	DGRP_Line_589_3wk_M_Rep_2	DGRP_Line_589_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_589	
SAMN19415336	DGRP_Line_595_3wk_F_Rep_1	DGRP_Line_595_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_595	
SAMN19415337	DGRP_Line_595_3wk_F_Rep_2	DGRP_Line_595_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_595	
SAMN19415338	DGRP_Line_595_3wk_M_Rep_1	DGRP_Line_595_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_595	
SAMN19415339	DGRP_Line_595_3wk_M_Rep_2	DGRP_Line_595_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_595	
SAMN19415340	DGRP_Line_596_3wk_F_Rep_1	DGRP_Line_596_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_596	
SAMN19415341	DGRP_Line_596_3wk_F_Rep_2	DGRP_Line_596_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_596	
SAMN19415342	DGRP_Line_596_3wk_M_Rep_1	DGRP_Line_596_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_596	
SAMN19415343	DGRP_Line_596_3wk_M_Rep_2	DGRP_Line_596_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_596	
SAMN19415344	DGRP_Line_59_3wk_F_Rep_1	DGRP_Line_59_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_59	
SAMN19415345	DGRP_Line_59_3wk_F_Rep_2	DGRP_Line_59_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_59	
SAMN19415346	DGRP_Line_59_3wk_M_Rep_1	DGRP_Line_59_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_59	
SAMN19415347	DGRP_Line_59_3wk_M_Rep_2	DGRP_Line_59_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_59	
SAMN19415348	DGRP_Line_630_3wk_F_Rep_1	DGRP_Line_630_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_630	
SAMN19415349	DGRP_Line_630_3wk_F_Rep_2	DGRP_Line_630_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_630	
SAMN19415350	DGRP_Line_630_3wk_M_Rep_1	DGRP_Line_630_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_630	
SAMN19415351	DGRP_Line_630_3wk_M_Rep_2	DGRP_Line_630_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_630	
SAMN19415352	DGRP_Line_634_3wk_F_Rep_1	DGRP_Line_634_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_634	
SAMN19415353	DGRP_Line_634_3wk_F_Rep_2	DGRP_Line_634_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_634	
SAMN19415354	DGRP_Line_634_3wk_M_Rep_1	DGRP_Line_634_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_634	
SAMN19415355	DGRP_Line_634_3wk_M_Rep_2	DGRP_Line_634_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_634	
SAMN19415356	DGRP_Line_639_3wk_F_Rep_1	DGRP_Line_639_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_639	
SAMN19415357	DGRP_Line_639_3wk_F_Rep_2	DGRP_Line_639_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_639	
SAMN19415358	DGRP_Line_639_3wk_M_Rep_2	DGRP_Line_639_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_639	
SAMN19415359	DGRP_Line_642_3wk_F_Rep_1	DGRP_Line_642_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_642	
SAMN19415360	DGRP_Line_642_3wk_F_Rep_2	DGRP_Line_642_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_642	
SAMN19415361	DGRP_Line_642_3wk_M_Rep_1	DGRP_Line_642_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_642	
SAMN19415362	DGRP_Line_642_3wk_M_Rep_2	DGRP_Line_642_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_642	
SAMN19415363	DGRP_Line_646_3wk_F_Rep_1	DGRP_Line_646_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_646	
SAMN19415364	DGRP_Line_646_3wk_F_Rep_2	DGRP_Line_646_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_646	
SAMN19415365	DGRP_Line_646_3wk_M_Rep_1	DGRP_Line_646_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_646	
SAMN19415366	DGRP_Line_646_3wk_M_Rep_2	DGRP_Line_646_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_646	
SAMN19415367	DGRP_Line_69_3wk_F_Rep_1	DGRP_Line_69_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_69	
SAMN19415368	DGRP_Line_69_3wk_F_Rep_2	DGRP_Line_69_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_69	
SAMN19415369	DGRP_Line_69_3wk_M_Rep_1	DGRP_Line_69_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_69	
SAMN19415370	DGRP_Line_703_3wk_F_Rep_1	DGRP_Line_703_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_703	
SAMN19415371	DGRP_Line_703_3wk_F_Rep_2	DGRP_Line_703_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_703	
SAMN19415372	DGRP_Line_703_3wk_M_Rep_1	DGRP_Line_703_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_703	
SAMN19415373	DGRP_Line_703_3wk_M_Rep_2	DGRP_Line_703_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_703	
SAMN19415374	DGRP_Line_705_3wk_F_Rep_1	DGRP_Line_705_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_705	
SAMN19415375	DGRP_Line_705_3wk_F_Rep_2	DGRP_Line_705_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_705	
SAMN19415376	DGRP_Line_705_3wk_M_Rep_1	DGRP_Line_705_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_705	
SAMN19415377	DGRP_Line_705_3wk_M_Rep_2	DGRP_Line_705_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_705	
SAMN19415378	DGRP_Line_707_3wk_F_Rep_1	DGRP_Line_707_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_707	
SAMN19415379	DGRP_Line_707_3wk_F_Rep_2	DGRP_Line_707_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_707	
SAMN19415380	DGRP_Line_707_3wk_M_Rep_1	DGRP_Line_707_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_707	
SAMN19415381	DGRP_Line_707_3wk_M_Rep_2	DGRP_Line_707_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_707	
SAMN19415382	DGRP_Line_712_3wk_F_Rep_1	DGRP_Line_712_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_712	
SAMN19415383	DGRP_Line_712_3wk_F_Rep_2	DGRP_Line_712_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_712	
SAMN19415384	DGRP_Line_712_3wk_M_Rep_1	DGRP_Line_712_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_712	
SAMN19415385	DGRP_Line_712_3wk_M_Rep_2	DGRP_Line_712_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_712	
SAMN19415386	DGRP_Line_714_3wk_F_Rep_1	DGRP_Line_714_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_714	
SAMN19415387	DGRP_Line_714_3wk_F_Rep_2	DGRP_Line_714_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_714	
SAMN19415388	DGRP_Line_714_3wk_M_Rep_1	DGRP_Line_714_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_714	
SAMN19415389	DGRP_Line_714_3wk_M_Rep_2	DGRP_Line_714_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_714	
SAMN19415390	DGRP_Line_716_3wk_F_Rep_1	DGRP_Line_716_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_716	
SAMN19415391	DGRP_Line_716_3wk_F_Rep_2	DGRP_Line_716_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_716	
SAMN19415392	DGRP_Line_716_3wk_F_Rep_3	DGRP_Line_716_3wk_F_Rep_3	Drosophila melanogaster	7227	DGRP_716	
SAMN19415393	DGRP_Line_716_3wk_M_Rep_1	DGRP_Line_716_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_716	
SAMN19415394	DGRP_Line_716_3wk_M_Rep_2	DGRP_Line_716_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_716	
SAMN19415395	DGRP_Line_716_3wk_M_Rep_3	DGRP_Line_716_3wk_M_Rep_3	Drosophila melanogaster	7227	DGRP_716	
SAMN19415396	DGRP_Line_716_3wk_M_Rep_4	DGRP_Line_716_3wk_M_Rep_4	Drosophila melanogaster	7227	DGRP_716	
SAMN19415397	DGRP_Line_721_3wk_F_Rep_1	DGRP_Line_721_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_721	
SAMN19415398	DGRP_Line_721_3wk_F_Rep_2	DGRP_Line_721_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_721	
SAMN19415399	DGRP_Line_721_3wk_F_Rep_3	DGRP_Line_721_3wk_F_Rep_3	Drosophila melanogaster	7227	DGRP_721	
SAMN19415400	DGRP_Line_721_3wk_F_Rep_4	DGRP_Line_721_3wk_F_Rep_4	Drosophila melanogaster	7227	DGRP_721	
SAMN19415401	DGRP_Line_721_3wk_M_Rep_1	DGRP_Line_721_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_721	
SAMN19415402	DGRP_Line_721_3wk_M_Rep_2	DGRP_Line_721_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_721	
SAMN19415403	DGRP_Line_721_3wk_M_Rep_3	DGRP_Line_721_3wk_M_Rep_3	Drosophila melanogaster	7227	DGRP_721	
SAMN19415404	DGRP_Line_721_3wk_M_Rep_5	DGRP_Line_721_3wk_M_Rep_5	Drosophila melanogaster	7227	DGRP_721	
SAMN19415405	DGRP_Line_727_3wk_F_Rep_1	DGRP_Line_727_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_727	
SAMN19415406	DGRP_Line_727_3wk_F_Rep_2	DGRP_Line_727_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_727	
SAMN19415407	DGRP_Line_727_3wk_M_Rep_1	DGRP_Line_727_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_727	
SAMN19415408	DGRP_Line_727_3wk_M_Rep_2	DGRP_Line_727_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_727	
SAMN19415409	DGRP_Line_730_3wk_F_Rep_1	DGRP_Line_730_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_730	
SAMN19415410	DGRP_Line_730_3wk_F_Rep_2	DGRP_Line_730_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_730	
SAMN19415411	DGRP_Line_730_3wk_M_Rep_1	DGRP_Line_730_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_730	
SAMN19415412	DGRP_Line_730_3wk_M_Rep_2	DGRP_Line_730_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_730	
SAMN19415413	DGRP_Line_732_3wk_F_Rep_1	DGRP_Line_732_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_732	
SAMN19415414	DGRP_Line_732_3wk_F_Rep_2	DGRP_Line_732_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_732	
SAMN19415415	DGRP_Line_732_3wk_M_Rep_2	DGRP_Line_732_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_732	
SAMN19415416	DGRP_Line_737_3wk_F_Rep_1	DGRP_Line_737_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_737	
SAMN19415417	DGRP_Line_737_3wk_F_Rep_2	DGRP_Line_737_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_737	
SAMN19415418	DGRP_Line_737_3wk_M_Rep_1	DGRP_Line_737_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_737	
SAMN19415419	DGRP_Line_738_3wk_F_Rep_1	DGRP_Line_738_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_738	
SAMN19415420	DGRP_Line_738_3wk_F_Rep_2	DGRP_Line_738_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_738	
SAMN19415421	DGRP_Line_738_3wk_M_Rep_1	DGRP_Line_738_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_738	
SAMN19415422	DGRP_Line_738_3wk_M_Rep_2	DGRP_Line_738_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_738	
SAMN19415423	DGRP_Line_73_3wk_F_Rep_1	DGRP_Line_73_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_73	
SAMN19415424	DGRP_Line_73_3wk_F_Rep_2	DGRP_Line_73_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_73	
SAMN19415425	DGRP_Line_73_3wk_M_Rep_1	DGRP_Line_73_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_73	
SAMN19415426	DGRP_Line_73_3wk_M_Rep_2	DGRP_Line_73_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_73	
SAMN19415427	DGRP_Line_748_3wk_F_Rep_1	DGRP_Line_748_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_748	
SAMN19415428	DGRP_Line_748_3wk_F_Rep_2	DGRP_Line_748_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_748	
SAMN19415429	DGRP_Line_748_3wk_M_Rep_1	DGRP_Line_748_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_748	
SAMN19415430	DGRP_Line_748_3wk_M_Rep_2	DGRP_Line_748_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_748	
SAMN19415431	DGRP_Line_757_3wk_F_Rep_1	DGRP_Line_757_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_757	
SAMN19415432	DGRP_Line_757_3wk_F_Rep_2	DGRP_Line_757_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_757	
SAMN19415433	DGRP_Line_757_3wk_M_Rep_1	DGRP_Line_757_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_757	
SAMN19415434	DGRP_Line_757_3wk_M_Rep_2	DGRP_Line_757_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_757	
SAMN19415435	DGRP_Line_75_3wk_F_Rep_1	DGRP_Line_75_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_75	
SAMN19415436	DGRP_Line_75_3wk_F_Rep_2	DGRP_Line_75_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_75	
SAMN19415437	DGRP_Line_75_3wk_M_Rep_1	DGRP_Line_75_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_75	
SAMN19415438	DGRP_Line_75_3wk_M_Rep_2	DGRP_Line_75_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_75	
SAMN19415439	DGRP_Line_761_3wk_F_Rep_1	DGRP_Line_761_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_761	
SAMN19415440	DGRP_Line_761_3wk_F_Rep_2	DGRP_Line_761_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_761	
SAMN19415441	DGRP_Line_761_3wk_M_Rep_1	DGRP_Line_761_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_761	
SAMN19415442	DGRP_Line_761_3wk_M_Rep_2	DGRP_Line_761_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_761	
SAMN19415443	DGRP_Line_765_3wk_F_Rep_1	DGRP_Line_765_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_765	
SAMN19415444	DGRP_Line_765_3wk_F_Rep_2	DGRP_Line_765_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_765	
SAMN19415445	DGRP_Line_765_3wk_M_Rep_1	DGRP_Line_765_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_765	
SAMN19415446	DGRP_Line_765_3wk_M_Rep_2	DGRP_Line_765_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_765	
SAMN19415447	DGRP_Line_774_3wk_F_Rep_1	DGRP_Line_774_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_774	
SAMN19415448	DGRP_Line_774_3wk_F_Rep_2	DGRP_Line_774_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_774	
SAMN19415449	DGRP_Line_774_3wk_M_Rep_1	DGRP_Line_774_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_774	
SAMN19415450	DGRP_Line_774_3wk_M_Rep_2	DGRP_Line_774_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_774	
SAMN19415451	DGRP_Line_776_3wk_F_Rep_1	DGRP_Line_776_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_776	
SAMN19415452	DGRP_Line_776_3wk_F_Rep_2	DGRP_Line_776_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_776	
SAMN19415453	DGRP_Line_776_3wk_M_Rep_1	DGRP_Line_776_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_776	
SAMN19415454	DGRP_Line_776_3wk_M_Rep_2	DGRP_Line_776_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_776	
SAMN19415455	DGRP_Line_783_3wk_F_Rep_1	DGRP_Line_783_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_783	
SAMN19415456	DGRP_Line_783_3wk_F_Rep_2	DGRP_Line_783_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_783	
SAMN19415457	DGRP_Line_783_3wk_M_Rep_1	DGRP_Line_783_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_783	
SAMN19415458	DGRP_Line_783_3wk_M_Rep_2	DGRP_Line_783_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_783	
SAMN19415459	DGRP_Line_786_3wk_F_Rep_1	DGRP_Line_786_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_786	
SAMN19415460	DGRP_Line_786_3wk_F_Rep_2	DGRP_Line_786_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_786	
SAMN19415461	DGRP_Line_786_3wk_M_Rep_1	DGRP_Line_786_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_786	
SAMN19415462	DGRP_Line_786_3wk_M_Rep_2	DGRP_Line_786_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_786	
SAMN19415463	DGRP_Line_787_3wk_F_Rep_1	DGRP_Line_787_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_787	
SAMN19415464	DGRP_Line_787_3wk_F_Rep_2	DGRP_Line_787_3wk_F_Rep_2	Drosophila melanogaster	7227	DGRP_787	
SAMN19415465	DGRP_Line_787_3wk_M_Rep_1	DGRP_Line_787_3wk_M_Rep_1	Drosophila melanogaster	7227	DGRP_787	
SAMN19415466	DGRP_Line_787_3wk_M_Rep_2	DGRP_Line_787_3wk_M_Rep_2	Drosophila melanogaster	7227	DGRP_787	
SAMN19415467	DGRP_Line_790_3wk_F_Rep_1	DGRP_Line_790_3wk_F_Rep_1	Drosophila melanogaster	7227	DGRP_790	
