832_Female_Rep_2	SAMN09738996
832_Male_Rep_1	SAMN09738995
832_Male_Rep_2	SAMN09738994
837_Female_Rep_1	SAMN09738993
837_Female_Rep_2	SAMN09738992
837_Male_Rep_1	SAMN09738991
837_Male_Rep_2	SAMN09738990
843_Female_Rep_1	SAMN09738989
843_Female_Rep_2	SAMN09738988
843_Male_Rep_1	SAMN09738987
843_Male_Rep_2	SAMN09738986
849_Female_Rep_1	SAMN09738985
849_Female_Rep_2	SAMN09738984
849_Male_Rep_1	SAMN09738983
849_Male_Rep_2	SAMN09738982
85_Female_Rep_1	SAMN09738981
85_Female_Rep_2	SAMN09738980
85_Male_Rep_1	SAMN09738979
85_Male_Rep_2	SAMN09738978
850_Female_Rep_1	SAMN09738977
850_Female_Rep_2	SAMN09738976
850_Male_Rep_1	SAMN09738975
850_Male_Rep_2	SAMN09738974
852_Female_Rep_1	SAMN09738973
852_Female_Rep_2	SAMN09738972
852_Male_Rep_1	SAMN09738971
730_Female_Rep_1	SAMN09738970
730_Female_Rep_2	SAMN09738969
730_Male_Rep_1	SAMN09738968
730_Male_Rep_2	SAMN09738967
732_Female_Rep_1	SAMN09738966
732_Female_Rep_2	SAMN09738965
732_Male_Rep_1	SAMN09738964
732_Male_Rep_2	SAMN09738963
737_Female_Rep_1	SAMN09738962
737_Female_Rep_2	SAMN09738961
737_Male_Rep_1	SAMN09738960
737_Male_Rep_2	SAMN09738959
738_Female_Rep_1	SAMN09738958
819_Male_Rep_2	SAMN09738957
820_Female_Rep_1	SAMN09738956
820_Female_Rep_2	SAMN09738955
820_Male_Rep_1	SAMN09738954
821_Male_Rep_1	SAMN09738953
821_Male_Rep_2	SAMN09738952
820_Male_Rep_2	SAMN09738951
821_Female_Rep_1	SAMN09738950
821_Female_Rep_2	SAMN09738949
822_Female_Rep_1	SAMN09738948
822_Female_Rep_2	SAMN09738947
822_Male_Rep_1	SAMN09738946
822_Male_Rep_2	SAMN09738945
630_Female_Rep_1	SAMN09738944
630_Female_Rep_2	SAMN09738943
630_Male_Rep_1	SAMN09738942
630_Male_Rep_2	SAMN09738940
634_Female_Rep_1	SAMN09738939
634_Female_Rep_2	SAMN09738938
634_Male_Rep_1	SAMN09738937
634_Male_Rep_2	SAMN09738936
639_Female_Rep_1	SAMN09738935
714_Male_Rep_2	SAMN09738934
716_Female_Rep_1	SAMN09738933
716_Female_Rep_2	SAMN09738932
716_Male_Rep_1	SAMN09738931
716_Male_Rep_2	SAMN09738930
721_Male_Rep_1	SAMN09738929
721_Male_Rep_2	SAMN09738928
727_Female_Rep_1	SAMN09738927
727_Female_Rep_2	SAMN09738926
721_Female_Rep_1	SAMN09738925
721_Female_Rep_2	SAMN09738924
727_Male_Rep_1	SAMN09738923
727_Male_Rep_2	SAMN09738922
73_Female_Rep_1	SAMN09738921
73_Female_Rep_2	SAMN09738920
73_Male_Rep_1	SAMN09738919
73_Male_Rep_2	SAMN09738918
712_Male_Rep_2	SAMN09738917
714_Female_Rep_1	SAMN09738916
714_Female_Rep_2	SAMN09738915
714_Male_Rep_1	SAMN09738914
584_Male_Rep_2	SAMN09738913
589_Female_Rep_1	SAMN09738912
589_Female_Rep_2	SAMN09738911
589_Male_Rep_1	SAMN09738910
